Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2012-01-02,184959.6,1
1,1,2012-01-09,146114.4,0
1,1,2012-01-16,138019.94,0
1,1,2012-01-23,121850.54,0
1,1,2012-01-30,77337.93,0
1,1,2012-02-06,203568.32,0
1,1,2012-02-13,135655.45,0
1,1,2012-02-20,178293.57,0
1,1,2012-02-27,151549.6,0
1,1,2012-03-05,144246.31,0
1,1,2012-03-12,142300.01,0
1,1,2012-03-19,181419.85,0
1,1,2012-03-26,102943.72,0
1,1,2012-04-02,198092.89,0
1,1,2012-04-09,129739.33,0
1,1,2012-04-16,115259.18,0
1,1,2012-04-23,123779.1,0
1,1,2012-04-30,172689.54,0
1,1,2012-05-07,191243.84,0
1,1,2012-05-14,170895.64,0
1,1,2012-05-21,177590.13,0
1,1,2012-05-28,140298.79,1
1,1,2012-06-04,175626.69,0
1,1,2012-06-11,127998.46,0
1,1,2012-06-18,128010.52,0
1,1,2012-06-25,168903.49,0
1,1,2012-07-02,217530.38,1
1,1,2012-07-09,153255.56,0
1,1,2012-07-16,129345.65,0
1,1,2012-07-23,121167.44,0
1,1,2012-07-30,183064.24,0
1,1,2012-08-06,105341.87,0
1,1,2012-08-13,114238.75,0
1,1,2012-08-20,94292.97,0
1,1,2012-08-27,112447.15,0
1,1,2012-09-03,165044.27,1
1,1,2012-09-10,117693.87,0
1,1,2012-09-17,110313.66,0
1,1,2012-09-24,130680.09,0
1,1,2012-10-01,94627.07,0
1,1,2012-10-08,97890.6,0
1,1,2012-10-15,125499.37,0
1,1,2012-10-22,87138.68,0
1,1,2012-10-29,113886.0,0
1,1,2012-11-05,121010.2,0
1,1,2012-11-12,120269.42,0
1,1,2012-11-19,161497.8,1
1,1,2012-11-26,95804.0,0
1,1,2012-12-03,115588.24,0
1,1,2012-12-10,74401.69,0
1,1,2012-12-17,93570.06,0
1,1,2012-12-24,130811.21,1
1,1,2012-12-31,118292.42,0
1,2,2012-01-02,99302.5,1
1,2,2012-01-09,78999.33,0
1,2,2012-01-16,83030.87,0
1,2,2012-01-23,72069.53,0
1,2,2012-01-30,70204.18,0
1,2,2012-02-06,117885.78,0
1,2,2012-02-13,152864.6,0
1,2,2012-02-20,102404.71,0
1,2,2012-02-27,140210.58,0
1,2,2012-03-05,111521.8,0
1,2,2012-03-12,104029.92,0
1,2,2012-03-19,142347.93,0
1,2,2012-03-26,117322.25,0
1,2,2012-04-02,91657.21,0
1,2,2012-04-09,111675.6,0
1,2,2012-04-16,134755.76,0
1,2,2012-04-23,104643.37,0
1,2,2012-04-30,140924.31,0
1,2,2012-05-07,110718.74,0
1,2,2012-05-14,116601.48,0
1,2,2012-05-21,141995.84,0
1,2,2012-05-28,106704.27,1
1,2,2012-06-04,104253.96,0
1,2,2012-06-11,124539.51,0
1,2,2012-06-18,97791.2,0
1,2,2012-06-25,104373.0,0
1,2,2012-07-02,135120.3,1
1,2,2012-07-09,87630.68,0
1,2,2012-07-16,110079.73,0
1,2,2012-07-23,95046.75,0
1,2,2012-07-30,66055.75,0
1,2,2012-08-06,96046.06,0
1,2,2012-08-13,102965.39,0
1,2,2012-08-20,82231.31,0
1,2,2012-08-27,74448.43,0
1,2,2012-09-03,106573.61,1
1,2,2012-09-10,77343.46,0
1,2,2012-09-17,76952.91,0
1,2,2012-09-24,87259.55,0
1,2,2012-10-01,102349.38,0
1,2,2012-10-08,74131.15,0
1,2,2012-10-15,70730.44,0
1,2,2012-10-22,74072.9,0
1,2,2012-10-29,87261.97,0
1,2,2012-11-05,73591.17,0
1,2,2012-11-12,90584.0,0
1,2,2012-11-19,130458.16,1
1,2,2012-11-26,85566.3,0
1,2,2012-12-03,87650.92,0
1,2,2012-12-10,60770.79,0
1,2,2012-12-17,100080.87,0
1,2,2012-12-24,100325.82,1
1,2,2012-12-31,90484.01,0
1,3,2012-01-02,81739.08,1
1,3,2012-01-09,77601.91,0
1,3,2012-01-16,86055.16,0
1,3,2012-01-23,95295.27,0
1,3,2012-01-30,65650.66,0
1,3,2012-02-06,98996.78,0
1,3,2012-02-13,114540.14,0
1,3,2012-02-20,78691.42,0
1,3,2012-02-27,104320.96,0
1,3,2012-03-05,95672.11,0
1,3,2012-03-12,100620.43,0
1,3,2012-03-19,117394.2,0
1,3,2012-03-26,89235.19,0
1,3,2012-04-02,119877.67,0
1,3,2012-04-09,86412.05,0
1,3,2012-04-16,86589.64,0
1,3,2012-04-23,61115.44,0
1,3,2012-04-30,78041.25,0
1,3,2012-05-07,101960.75,0
1,3,2012-05-14,82917.97,0
1,3,2012-05-21,95024.31,0
1,3,2012-05-28,130469.78,1
1,3,2012-06-04,86205.35,0
1,3,2012-06-11,100515.84,0
1,3,2012-06-18,106832.18,0
1,3,2012-06-25,95114.48,0
1,3,2012-07-02,106963.86,1
1,3,2012-07-09,71763.85,0
1,3,2012-07-16,87449.26,0
1,3,2012-07-23,99486.15,0
1,3,2012-07-30,54514.23,0
1,3,2012-08-06,55721.36,0
1,3,2012-08-13,87811.86,0
1,3,2012-08-20,60743.77,0
1,3,2012-08-27,85578.61,0
1,3,2012-09-03,85313.6,1
1,3,2012-09-10,74620.61,0
1,3,2012-09-17,50163.52,0
1,3,2012-09-24,71156.92,0
1,3,2012-10-01,65051.58,0
1,3,2012-10-08,67904.66,0
1,3,2012-10-15,66203.9,0
1,3,2012-10-22,47873.85,0
1,3,2012-10-29,52080.69,0
1,3,2012-11-05,54156.84,0
1,3,2012-11-12,65613.3,0
1,3,2012-11-19,86090.91,1
1,3,2012-11-26,52143.33,0
1,3,2012-12-03,59276.3,0
1,3,2012-12-10,86332.95,0
1,3,2012-12-17,75842.37,0
1,3,2012-12-24,159577.41,1
1,3,2012-12-31,45753.6,0
1,4,2012-01-02,117536.93,1
1,4,2012-01-09,70223.04,0
1,4,2012-01-16,77218.1,0
1,4,2012-01-23,111178.3,0
1,4,2012-01-30,88891.74,0
1,4,2012-02-06,80986.09,0
1,4,2012-02-13,108294.37,0
1,4,2012-02-20,60417.96,0
1,4,2012-02-27,78136.92,0
1,4,2012-03-05,137489.43,0
1,4,2012-03-12,85463.49,0
1,4,2012-03-19,107193.63,0
1,4,2012-03-26,114671.77,0
1,4,2012-04-02,117241.73,0
1,4,2012-04-09,88925.63,0
1,4,2012-04-16,56642.32,0
1,4,2012-04-23,104385.95,0
1,4,2012-04-30,110234.09,0
1,4,2012-05-07,120960.41,0
1,4,2012-05-14,91949.21,0
1,4,2012-05-21,102555.17,0
1,4,2012-05-28,148798.04,1
1,4,2012-06-04,134194.66,0
1,4,2012-06-11,110962.2,0
1,4,2012-06-18,90841.42,0
1,4,2012-06-25,74489.23,0
1,4,2012-07-02,117867.43,1
1,4,2012-07-09,89813.61,0
1,4,2012-07-16,119882.45,0
1,4,2012-07-23,62407.75,0
1,4,2012-07-30,101021.41,0
1,4,2012-08-06,70434.19,0
1,4,2012-08-13,47484.26,0
1,4,2012-08-20,58955.8,0
1,4,2012-08-27,73667.23,0
1,4,2012-09-03,81194.48,1
1,4,2012-09-10,63439.71,0
1,4,2012-09-17,65237.66,0
1,4,2012-09-24,79267.68,0
1,4,2012-10-01,77300.24,0
1,4,2012-10-08,65813.45,0
1,4,2012-10-15,80466.55,0
1,4,2012-10-22,69617.98,0
1,4,2012-10-29,77697.94,0
1,4,2012-11-05,78717.32,0
1,4,2012-11-12,73897.52,0
1,4,2012-11-19,111799.11,1
1,4,2012-11-26,45561.62,0
1,4,2012-12-03,64183.31,0
1,4,2012-12-10,70943.86,0
1,4,2012-12-17,84195.54,0
1,4,2012-12-24,68798.39,1
1,4,2012-12-31,82518.65,0
1,5,2012-01-02,100677.49,1
1,5,2012-01-09,60157.73,0
1,5,2012-01-16,102996.61,0
1,5,2012-01-23,71656.62,0
1,5,2012-01-30,79539.35,0
1,5,2012-02-06,96841.42,0
1,5,2012-02-13,87099.86,0
1,5,2012-02-20,89925.79,0
1,5,2012-02-27,81777.69,0
1,5,2012-03-05,84283.07,0
1,5,2012-03-12,121819.64,0
1,5,2012-03-19,108860.05,0
