user_id,date,landing,region,dispositivo,traffic_source,user_type,converted,gasto
825db3f6-4232-44dc-bf70-37c413362d91,2026-02-22,A,Sur,Mobile,Ads,Nuevo,0,0.0
42c32e9f-b626-4416-88e8-092b1fbb96d2,2026-02-13,A,Norte,Desktop,Ads,Nuevo,1,57.66
85eee9b6-ed60-4124-bee0-e9f02d530335,2026-02-25,A,Sur,Desktop,Organic,Recurrente,0,0.0
873fcb56-7fed-4b8c-a0b3-ff94bcd10acc,2026-02-20,A,Sur,Mobile,Organic,Nuevo,0,0.0
e7cf8f07-f65b-4686-b733-daf99dab571e,2026-02-03,B,Centro,Mobile,Organic,Recurrente,1,63.26
4c260103-0762-4c65-a0d2-506006e2bb41,2026-02-28,B,Oriente,Desktop,Ads,Nuevo,0,0.0
1c6b89c1-8b48-4ea8-9131-46422ca588e3,2026-02-22,A,Centro,Desktop,Organic,Nuevo,0,0.0
763744f2-1b04-4d0c-b354-bcaf4fc8768a,2026-02-23,B,Sur,Mobile,Ads,Recurrente,0,0.0
7519c215-cc1b-4ebd-a605-2d175085b380,2026-02-04,B,Norte,Mobile,Referral,Nuevo,0,0.0
649e0bc8-88e7-4d69-9a92-f1d74fbb9371,2026-02-13,A,Centro,Mobile,Referral,Nuevo,0,0.0
4ea7b8b4-59b7-4562-ad6d-3b6bcc541dcc,2026-02-11,A,Norte,Desktop,,Nuevo,0,0.0
8a9cae99-0b0e-4be3-a0dc-e53b0dd64d36,2026-02-26,B,Sur,Mobile,Referral,Nuevo,0,0.0
36bb99f6-d3c8-4e3e-9268-b066a9e06871,2026-02-19,B,Occidente,Mobile,Ads,Nuevo,0,0.0
0d6d71e3-526c-49d7-aa10-200a3a2adb5c,2026-02-24,A,Occidente,Desktop,Organic,Recurrente,0,0.0
1d2e1ed8-f957-4347-83cf-46984ea5ed45,2026-02-13,B,Norte,Mobile,,Nuevo,0,0.0
1c4ab907-7ce1-4492-9d81-6ba95b54c53e,2026-02-07,B,Sur,Mobile,Ads,Nuevo,0,0.0
e91b7dab-2ae2-40d1-b8b4-22adb40161da,2026-02-16,A,Centro,Desktop,Ads,Recurrente,0,0.0
97c44938-f69f-449b-a441-83c4fc14d78f,2026-02-02,A,Sur,Desktop,Organic,Nuevo,0,0.0
179eb97e-0a30-4a49-9680-f2bc2a8eb230,2026-02-24,B,Norte,Mobile,Email,Nuevo,0,0.0
087ae6fe-b889-4fde-943a-3beb68eb6d15,2026-02-18,A,Sur,Desktop,Organic,Nuevo,0,0.0
31980d7b-a4a2-47dc-89d3-f6d928ad58cd,2026-02-22,A,Sur,Mobile,Organic,Nuevo,0,0.0
83ba3e4a-e333-4788-b936-bd64c8ee93ba,2026-02-10,B,Oriente,Mobile,Organic,Nuevo,0,0.0
e910903c-a798-4fc2-84a3-be03d0d3346f,2026-02-28,A,Sur,Mobile,Organic,Nuevo,1,93.88
a50dfc89-e49c-4a97-97f5-805943ee5702,2026-02-26,A,Sur,Mobile,Referral,Nuevo,1,44.05
18da2995-f6ae-41d4-b05f-dad12cb043af,2026-02-22,A,Centro,Desktop,Email,Recurrente,0,0.0
eda67495-7ae6-40f5-843d-b1ddd4074343,2026-02-06,A,Norte,Mobile,Organic,Nuevo,0,0.0
